temp,filtered temp,hum,filtered hum,,1-500,,,
29.3,19.99,36,24.68,,0.366503875,0.847513456,0.447500294,1.293387855
29.3,22.61,36,27.94,,500-1000,,,
29.3,24.13,36,29.82,,0.296621293,0.068761278,0.442854107,0.2631414
29.3,25.11,36,31.03,,1000-2000,,,
29.3,25.8,36,31.86,,0.198503584,0.267328593,0.257310447,0.218089162
29.3,26.3,36,32.47,,2000-3000,,,
29.3,26.68,36,32.93,,0.202869089,0.222635447,0.411570904,0.041684805
29.3,26.98,36,33.29,,,,,
29.3,27.22,36,33.57,,,,,
29.3,27.42,36,33.81,,,,,
29.3,27.58,36,34.01,,,,,
29.3,27.72,36,34.17,,,,,
29.3,27.84,36,34.31,,,,,
29.3,27.94,36,34.44,,,,,
29.3,28.03,36,34.54,,,,,
29.3,28.11,36,34.64,,,,,
29.3,28.18,36,34.72,,,,,
29.3,28.25,36,34.79,,,,,
29.3,28.3,37,34.91,,,,,
29.3,28.35,37,35.02,,,,,
29.3,28.4,36,35.07,,,,,
29.3,28.44,36,35.12,,,,,
29.3,28.48,36,35.16,,,,,
29.3,28.52,36,35.19,,,,,
29.3,28.55,36,35.23,,,,,
29.3,28.58,36,35.26,,,,,
29.3,28.61,36,35.29,,,,,
29.3,28.63,36,35.32,,,,,
29.3,28.66,36,35.34,,,,,
28.9,28.67,36,35.37,,,,,
28.9,28.67,36,35.39,,,,,
28.9,28.68,36,35.41,,,,,
28.9,28.69,36,35.43,,,,,
28.9,28.69,36,35.45,,,,,
28.9,28.7,36,35.46,,,,,
28.9,28.71,36,35.48,,,,,
28.9,28.71,36,35.49,,,,,
28.9,28.72,36,35.51,,,,,
28.9,28.72,36,35.52,,,,,
28.9,28.73,36,35.53,,,,,
28.9,28.73,36,35.55,,,,,
28.9,28.74,36,35.56,,,,,
28.9,28.74,36,35.57,,,,,
28.9,28.74,36,35.58,,,,,
28.9,28.75,36,35.59,,,,,
28.9,28.75,36,35.6,,,,,
28.9,28.75,36,35.61,,,,,
28.9,28.76,36,35.62,,,,,
28.9,28.76,37,35.65,,,,,
28.9,28.76,37,35.68,,,,,
28.9,28.77,37,35.71,,,,,
28.9,28.77,37,35.73,,,,,
28.9,28.77,37,35.76,,,,,
28.9,28.77,37,35.79,,,,,
28.9,28.78,37,35.81,,,,,
28.9,28.78,37,35.83,,,,,
28.9,28.78,37,35.86,,,,,
28.9,28.78,37,35.88,,,,,
28.6,28.78,37,35.9,,,,,
28.5,28.77,37,35.92,,,,,
28.5,28.77,37,35.94,,,,,
28.5,28.77,37,35.96,,,,,
28.5,28.76,37,35.98,,,,,
28.5,28.76,37,36,,,,,
28.5,28.75,37,36.02,,,,,
28.5,28.75,37,36.03,,,,,
28.5,28.74,37,36.05,,,,,
28.5,28.74,37,36.07,,,,,
28.5,28.74,37,36.08,,,,,
28.5,28.73,37,36.1,,,,,
28.5,28.73,37,36.11,,,,,
28.5,28.73,37,36.13,,,,,
28.5,28.72,37,36.14,,,,,
28.5,28.72,37,36.15,,,,,
28.5,28.72,37,36.17,,,,,
28.5,28.71,37,36.18,,,,,
28.5,28.71,37,36.19,,,,,
28.5,28.71,37,36.2,,,,,
28.5,28.71,37,36.22,,,,,
28.5,28.7,37,36.23,,,,,
28.5,28.7,37,36.24,,,,,
28.5,28.7,37,36.25,,,,,
28.5,28.7,37,36.26,,,,,
28.5,28.69,37,36.27,,,,,
28.5,28.69,37,36.28,,,,,
28.5,28.69,37,36.29,,,,,
28.5,28.69,37,36.3,,,,,
28.5,28.68,37,36.31,,,,,
28.5,28.68,37,36.32,,,,,
28.5,28.68,37,36.33,,,,,
28.5,28.68,37,36.34,,,,,
28.5,28.68,37,36.35,,,,,
28.5,28.67,37,36.36,,,,,
28.5,28.67,37,36.36,,,,,
28.5,28.67,37,36.37,,,,,
28.5,28.67,37,36.38,,,,,
28.5,28.67,37,36.39,,,,,
28.5,28.66,37,36.39,,,,,
28.5,28.66,37,36.4,,,,,
28.5,28.66,37,36.41,,,,,
28.5,28.66,37,36.42,,,,,
28.5,28.66,37,36.42,,,,,
28.5,28.66,37,36.43,,,,,
28.5,28.65,37,36.44,,,,,
28.5,28.65,37,36.44,,,,,
28.5,28.65,37,36.45,,,,,
28.5,28.65,37,36.46,,,,,
28.5,28.65,37,36.46,,,,,
28.5,28.65,37,36.47,,,,,
28.5,28.64,37,36.47,,,,,
28.5,28.64,37,36.48,,,,,
28.5,28.64,37,36.49,,,,,
28.5,28.64,37,36.49,,,,,
28.5,28.64,37,36.5,,,,,
28.5,28.64,37,36.5,,,,,
28.5,28.64,37,36.51,,,,,
28.5,28.64,37,36.51,,,,,
28.5,28.63,37,36.52,,,,,
28.5,28.63,37,36.52,,,,,
28.5,28.63,37,36.53,,,,,
28.5,28.63,37,36.53,,,,,
28.5,28.63,37,36.54,,,,,
28.5,28.63,37,36.54,,,,,
28.5,28.63,37,36.55,,,,,
28.5,28.63,37,36.55,,,,,
28.5,28.63,37,36.56,,,,,
28.5,28.62,37,36.56,,,,,
28.5,28.62,37,36.56,,,,,
28.5,28.62,37,36.57,,,,,
28.5,28.62,37,36.57,,,,,
28.5,28.62,37,36.58,,,,,
28.5,28.62,37,36.58,,,,,
28.5,28.62,37,36.58,,,,,
28.5,28.62,37,36.59,,,,,
28.5,28.62,37,36.59,,,,,
28.5,28.62,37,36.6,,,,,
28.5,28.61,37,36.6,,,,,
28.5,28.61,37,36.6,,,,,
28.5,28.61,37,36.61,,,,,
28.5,28.61,37,36.61,,,,,
28.5,28.61,37,36.61,,,,,
28.5,28.61,37,36.62,,,,,
28.5,28.61,37,36.62,,,,,
28.5,28.61,37,36.62,,,,,
28.5,28.61,37,36.63,,,,,
28.5,28.61,37,36.63,,,,,
28.5,28.61,37,36.63,,,,,
28.5,28.61,37,36.64,,,,,
